# kfold10_binary  (10 folds: fold_0, fold_1, fold_2, fold_3, fold_4, fold_5, fold_6, fold_7, fold_8, fold_9)

# 1. AVERAGES ACROSS FOLDS  (mean ± std,  [min, max],  CI95 half)
  metric                  n     mean    ± std      min      max    CI95±
  sweep.conf_0.25.iog>=0.3_&_iop>=0.10.overall.tp                27.5000 ± 4.9944
  sweep.conf_0.25.iog>=0.5.loc.mean_iog                          0.8102 ± 0.0229
  sweep.conf_0.25.iog>=0.5.loc.mean_iop                          0.6968 ± 0.0679
  sweep.conf_0.25.iog>=0.5.loc.mean_iou                          0.5736 ± 0.0555
  sweep.conf_0.25.iog>=0.5.loc.n                                 24.5000 ± 4.7668
  sweep.conf_0.25.iog>=0.5.overall.fn                            33.4000 ± 8.8719
  sweep.conf_0.25.iog>=0.5.overall.fp                            17.8000 ± 6.5625
  sweep.conf_0.25.iog>=0.5.overall.tp                            24.5000 ± 4.7668
  sweep.conf_0.25.iou>=0.5.loc.mean_iog                          0.8107 ± 0.0265
  sweep.conf_0.25.iou>=0.5.loc.mean_iop                          0.8200 ± 0.0358
  sweep.conf_0.25.iou>=0.5.loc.mean_iou                          0.6707 ± 0.0288
  sweep.conf_0.25.iou>=0.5.loc.n                                 17.4000 ± 5.3996
  sweep.conf_0.25.iou>=0.5.overall.f1                            0.3448 ± 0.0914
  sweep.conf_0.25.iou>=0.5.overall.fn                            40.5000 ± 9.2526
  sweep.conf_0.25.iou>=0.5.overall.fp                            24.9000 ± 7.5196
  sweep.conf_0.25.iou>=0.5.overall.precision                     0.4151 ± 0.0989
  sweep.conf_0.25.iou>=0.5.overall.recall                        0.3045 ± 0.1090
  sweep.conf_0.25.iou>=0.5.overall.tp                            17.4000 ± 5.3996
  val_stock.map50_95                                             0.1151 ± 0.0473
  val_stock.precision                                            0.4041 ± 0.1063
  val_stock.recall                                               0.3643 ± 0.1058
